Championship,Team1,Team2,Time,Win1,Win1_odd,Win2,Win2_odd,Over,O_odd,Under,U_odd,One,One_odd,Two,Two_odd
Denmark - Basketligaen,BMS Herlev Wolfpack,Team Fog Naestved,16:00,+13.5,1.88,-13.5,1.86,O 174.5,1.91,U 174.5,1.83,1,7.00,2,1.08
Denmark - Basketligaen,Vaerlose Bbk,Bears Academy,17:00,-6.5,1.80,+6.5,1.94,O 153.5,1.83,U 153.5,1.91,1,1.31,2,3.25
Romania - LNB,CSM Miercurea Ciuc,ABC Laguna Bucuresti,17:00,-8.5,1.90,+8.5,1.84,O 150.5,1.87,U 150.5,1.87,1,1.24,2,3.80
Poland - PLK,Szczecin,MKS Dabrowa Gornicza,18:30,-11.5,1.93,+11.5,1.78,O 173.5,1.86,U 173.5,1.84,1,1.14,2,5.25
Poland - I Liga,AZS Politechnika Opolska,PGE Turow Zgorzelec,16:00,-12.5,1.89,+12.5,1.85,O 167.5,1.87,U 167.5,1.87,1,1.11,2,6.00
Poland - I Liga,Basket Poznan,WKS Slask Wroclaw II,16:00,-4.5,1.84,+4.5,1.90,O 151.5,1.88,U 151.5,1.86,1,1.48,2,2.55
Poland - I Liga,KKS Polonia Warszawa,MKKS Zak Koszalin,19:00,-4.5,1.82,+4.5,1.92,O 166.5,1.87,U 166.5,1.87,1,1.46,2,2.60
Portugal - Campeonato Nacional Liga (W),Imortal Tcars (W),SL Benfica (W),13:00,+15.5,1.90,-15.5,1.84,O 132.5,1.87,U 132.5,1.87,1,8.50,2,1.05
Portugal - Campeonato Nacional Liga (W),CAB Madeira (W),Clube Uniao Sportiva (W),17:00,+6.5,1.91,-6.5,1.83,O 137.5,1.90,U 137.5,1.84,1,3.15,2,1.33
Portugal - Campeonato Nacional Liga (W),Quinta Dos Lombos (W),CP Esgueira (W),19:00,-1.5,1.97,+1.5,1.78,O 130.5,1.88,U 130.5,1.86,1,1.86,2,1.88
Sweden - Basketligan (W),Lulea BBK (W),Ostersund Basket (W),19:00,-30.5,1.82,+30.5,1.92,O 160.5,1.86,U 160.5,1.88,1,1.001,2,14.50
Portugal - LPB,Lusitania,Oliveirense,17:00,+1.5,1.80,-1.5,1.91,O 155.5,1.88,U 155.5,1.82,1,1.91,2,1.83
Portugal - LPB,CD Povoa,Imortal BC,17:30,-5.5,1.92,+5.5,1.79,O 153.5,1.82,U 153.5,1.88,1,1.44,2,2.65
Slovakia - SBL,BK Levicki Patrioti,BK Inter Bratislava,19:00,-8.5,1.90,+8.5,1.84,O 162.5,1.89,U 162.5,1.85,1,1.33,2,3.15
Norway - BLNO,Baerums Verk Defenders,Gimle BK,18:00,+2.5,1.89,-2.5,1.85,O 166.5,1.88,U 166.5,1.86,1,2.15,2,1.65
Norway - BLNO,Froeya Ambassadors,Kongsberg Miners,19:00,-2.5,1.87,+2.5,1.87,O 165.5,1.86,U 165.5,1.88,1,1.67,2,2.12
Europe - BNXT League,Landstede Basketball Zwolle,Limburg United,15:00,+2.5,1.91,-2.5,1.80,O 157.5,1.84,U 157.5,1.86,1,2.20,2,1.62
Europe - BNXT League,Feyenoord Basketball,Excelsior Brussels,15:30,-6.5,1.86,+6.5,1.84,O 152.5,1.86,U 152.5,1.84,1,1.35,2,3.05
Europe - BNXT League,Donar Groningen,Oostende,16:00,+8.5,1.90,-8.5,1.81,O 149.5,1.85,U 149.5,1.85,1,4.10,2,1.21
Europe - BNXT League,DEN Helder Suns,Belfius Mons-Hainaut,16:30,+12.5,1.82,-12.5,1.88,O 159.5,1.82,U 159.5,1.88,1,6.00,2,1.11
Europe - BNXT League,Aris Leeuwarden,Kangoeroes Basket Mechelen,17:00,+7.5,1.91,-7.5,1.80,O 163.5,1.85,U 163.5,1.85,1,3.60,2,1.26
Europe - BNXT League,Yoast United,Leuven Bears,17:00,+6.5,1.88,-6.5,1.82,O 155.5,1.82,U 155.5,1.88,1,3.15,2,1.33
South Korea - KBL,Ulsan Mobis Phoebus,Goyang Orions,12:00,-6.5,1.90,+6.5,1.84,O 163.5,1.84,U 163.5,1.90,1,1.37,2,2.95
Chinese Taipei - SBL,Yulon Luxgen Dinos,Bank of Taiwan,12:00,+2.5,1.88,-2.5,1.86,O 159.5,1.91,U 159.5,1.83,1,2.12,2,1.67
Chinese Taipei - SBL,Changhua Bll,Taiwan Beer,14:00,+1.5,1.93,-1.5,1.81,O 154.5,1.88,U 154.5,1.86,1,2.05,2,1.72
China - CBA,Jiangsu Dragons,Fujian Sturgeons,14:35,-15.5,1.85,+15.5,1.89,O 204.5,1.90,U 204.5,1.87,1,1.08,2,8.30
China - CBA,Zhejiang Golden Bulls,Shanghai Sharks,14:35,-9.5,1.86,+9.5,1.88,O 209.5,1.90,U 209.5,1.87,1,1.23,2,4.25
Japan - B2. League,Yamagata Wyverns,Fukushima Fire Bonds,in 9',+5.5,1.82,-5.5,1.92,O 157.5,1.88,U 157.5,1.86,1,2.65,2,1.44
Chinese Taipei - P League,New Taipei Kings,Hsinchu Lioneer,12:00,-11.5,1.90,+11.5,1.84,O 189.5,1.87,U 189.5,1.87,1,1.13,2,5.50
Lebanon - First Division,Al Riyadhi Beirut,Beirut SC,17:00,-8.5,1.92,+8.5,1.82,O 169.5,1.91,U 169.5,1.83,1,1.25,2,3.70
Argentina - LNB,Atenas Cordoba,Obera Tenis Club,Mon 02:00,+7.5,1.82,-7.5,1.88,O 158.5,1.85,U 158.5,1.85,1,3.40,2,1.29
Argentina - LNB,Penarol Mar del Plata,Regatas Corrientes,Mon 03:00,-2.5,1.84,+2.5,1.86,O 161.5,1.85,U 161.5,1.85,1,1.65,2,2.15
Venezuela - Superliga,Cocodrilos de Caracas,Gladiadores de Anzoategui,20:00,-1.5,1.84,+1.5,1.86,O 152.5,1.85,U 152.5,1.85,1,1.77,2,1.98
Venezuela - Superliga,Broncos De Caracas,Llaneros de Guarico,Mon 00:00,-12.5,1.83,+12.5,1.87,O 160.5,1.82,U 160.5,1.88,1,1.10,2,6.20
Venezuela - Superliga,Cancrejeros De Monagas,Gigantes de Guayana,Mon 00:00,+5.5,1.90,-5.5,1.81,O 159.5,1.82,U 159.5,1.88,1,2.85,2,1.39
Venezuela - Superliga,Brillantes De Maracaibo,Heroes de Falcon,Mon 01:00,-5.5,1.90,+5.5,1.81,O 169.5,1.84,U 169.5,1.86,1,1.44,2,2.65
Venezuela - Superliga,Bucaneros de La Guaira,Diablos De Miranda,Mon 01:00,-14.5,1.87,+14.5,1.83,O 152.5,1.85,U 152.5,1.85,1,1.07,2,7.50
Venezuela - Superliga,Centauros de Portuguesa,Guaros de Lara,Mon 01:00,-3.5,1.91,+3.5,1.80,O 156.5,1.86,U 156.5,1.84,1,1.62,2,2.20
Chile - Liga Nacional,CDS Quilicura Basket,Deportes Castro,23:30,-4.5,1.84,+4.5,1.86,O 160.5,1.85,U 160.5,1.85,1,1.49,2,2.50
